"date","close","open","high","low","volume","change"
"2023-10-24","16.4516","16.6308","17.3129","16.1835","1.62M","-1.08%"
"2023-10-23","16.6308","15.8696","16.7630","15.6924","1.02M","4.80%"
"2023-10-22","15.8696","15.7407","15.8799","15.3810","520.94K","0.82%"
"2023-10-21","15.7407","15.2986","15.8349","15.2412","556.09K","2.89%"
"2023-10-20","15.2986","14.8006","15.5000","14.7503","545.64K","3.36%"
"2023-10-19","14.8006","14.8116","14.8786","14.6520","434.32K","-0.07%"
"2023-10-18","14.8116","14.9603","15.0595","14.7815","302.83K","-0.99%"
"2023-10-17","14.9603","15.2437","15.2684","14.8514","390.26K","-1.86%"
"2023-10-16","15.2437","14.9407","15.7982","14.9232","726.85K","2.03%"
"2023-10-15","14.9407","14.9906","15.0595","14.8706","194.93K","-0.33%"
"2023-10-14","14.9906","14.8482","15.0206","14.8212","142.96K","0.90%"
"2023-10-13","14.8567","14.7892","14.9792","14.7007","217.62K","0.46%"
"2023-10-12","14.7892","14.9395","15.0300","14.6947","376.29K","-1.01%"
"2023-10-11","14.9395","14.9396","14.9683","14.6918","296.22K","0.00%"
"2023-10-10","14.9396","15.0406","15.1466","14.8146","203.23K","-0.67%"
"2023-10-9","15.0406","15.4911","15.5087","14.7806","473.19K","-2.91%"
"2023-10-8","15.4911","15.6591","15.7002","15.3800","216.05K","-1.07%"
"2023-10-7","15.6591","15.7191","15.7791","15.5502","219.12K","-0.38%"
"2023-10-6","15.7191","15.4402","15.8376","15.4052","208.36K","1.86%"
"2023-10-5","15.4319","15.6303","15.7890","15.4319","284.77K","-1.27%"
"2023-10-4","15.6303","15.7022","15.7093","15.2809","381.39K","-0.46%"
"2023-10-3","15.7022","16.1415","16.6180","15.6412","616.00K","-2.77%"
"2023-10-2","16.1501","16.6898","16.8898","16.0485","634.47K","-3.23%"
"2023-10-1","16.6898","16.3500","16.7946","16.2210","623.68K","2.08%"
"2023-9-30","16.3500","15.8707","16.8388","15.8197","829.77K","3.02%"
"2023-9-29","15.8707","15.8098","16.0383","15.6980","423.35K","0.39%"
