"date","close","open","high","low","volume","change"
"2023-7-15","27.456","26.675","29.072","26.547","12.93M","2.91%"
"2023-7-14","26.679","25.991","30.574","25.309","23.77M","2.63%"
"2023-7-13","25.995","21.938","26.651","21.450","19.22M","18.47%"
"2023-7-12","21.942","22.078","22.720","21.776","7.45M","-0.62%"
"2023-7-11","22.078","21.298","22.305","21.212","5.53M","3.63%"
"2023-7-10","21.305","21.325","21.790","20.532","6.75M","-0.17%"
"2023-7-9","21.342","21.823","22.332","21.042","4.59M","-2.21%"
"2023-7-8","21.823","21.495","22.447","21.329","7.76M","1.54%"
"2023-7-7","21.493","19.616","21.698","19.298","11.56M","9.43%"
"2023-7-6","19.641","18.992","20.964","18.860","11.93M","3.43%"
"2023-7-5","18.990","19.134","19.376","18.476","3.19M","-0.75%"
"2023-7-4","19.134","19.234","19.928","19.080","3.86M","-0.52%"
"2023-7-3","19.234","19.460","19.640","18.890","3.79M","-1.17%"
"2023-7-2","19.462","18.719","19.718","18.559","5.97M","3.97%"
"2023-7-1","18.719","18.858","18.983","17.919","4.08M","-0.74%"
"2023-6-30","18.858","17.988","19.930","17.330","13.57M","4.83%"
"2023-6-29","17.990","15.968","18.238","15.885","9.57M","12.68%"
"2023-6-28","15.965","16.622","16.648","15.712","5.32M","-3.95%"
"2023-6-27","16.622","16.262","16.920","16.140","3.85M","2.21%"
"2023-6-26","16.262","16.962","17.112","15.986","3.98M","-4.14%"
"2023-6-25","16.964","16.642","17.380","16.573","3.45M","1.94%"
"2023-6-24","16.642","17.142","17.525","16.392","3.53M","-2.92%"
"2023-6-23","17.142","16.634","17.512","16.218","6.42M","3.06%"
"2023-6-22","16.634","17.237","17.725","16.582","4.33M","-3.55%"
"2023-6-21","17.245","16.633","17.402","16.570","5.53M","3.68%"
"2023-6-20","16.633","16.102","16.653","15.758","4.10M","3.29%"
"2023-6-19","16.102","15.448","16.130","15.368","2.41M","4.23%"
"2023-6-18","15.448","15.640","15.828","15.340","1.94M","-1.23%"
"2023-6-17","15.640","15.320","16.093","15.170","3.12M","2.09%"
"2023-6-16","15.320","14.787","15.450","14.454","3.94M","3.60%"
"2023-6-15","14.787","14.490","15.049","14.189","5.38M","2.07%"
"2023-6-14","14.488","15.037","15.336","14.140","4.82M","-3.66%"
"2023-6-13","15.038","15.191","15.931","14.780","5.77M","-1.00%"
"2023-6-12","15.190","15.550","15.649","14.759","6.09M","-2.32%"
"2023-6-11","15.551","15.622","16.142","15.142","7.04M","-0.46%"
"2023-6-10","15.623","17.398","17.398","13.330","20.69M","-10.20%"
"2023-6-9","17.398","18.890","19.325","17.125","6.20M","-7.91%"
"2023-6-8","18.892","18.633","19.093","18.258","3.15M","1.42%"
"2023-6-7","18.627","20.390","20.512","18.527","5.40M","-8.65%"
"2023-6-6","20.390","19.993","20.685","19.265","5.77M","1.95%"
"2023-6-5","20.000","21.830","22.052","19.353","8.37M","-8.38%"
"2023-6-4","21.830","21.195","22.290","21.035","3.61M","3.02%"
"2023-6-3","21.190","21.262","21.345","20.994","1.48M","-0.32%"
"2023-6-2","21.258","20.497","21.372","20.325","2.66M","3.71%"
"2023-6-1","20.497","20.820","20.983","20.437","2.29M","-1.56%"
"2023-5-31","20.823","21.253","21.326","20.435","2.84M","-2.02%"
"2023-5-30","21.253","20.572","21.396","20.472","4.46M","3.31%"
"2023-5-29","20.572","20.800","20.974","20.280","2.84M","-1.10%"
"2023-5-28","20.802","20.422","21.165","20.302","3.53M","1.85%"
"2023-5-27","20.424","19.353","20.512","19.330","2.00M","5.55%"
"2023-5-26","19.350","19.250","19.553","19.093","1.44M","0.52%"
"2023-5-25","19.250","19.213","19.540","18.798","2.37M","0.19%"
"2023-5-24","19.213","20.030","20.070","18.852","3.80M","-4.07%"
"2023-5-23","20.028","19.530","20.166","19.426","3.28M","2.55%"
"2023-5-22","19.530","19.612","19.997","19.370","3.02M","-0.42%"
"2023-5-21","19.612","20.290","20.390","19.413","2.57M","-3.34%"
"2023-5-20","20.290","20.350","20.360","20.113","1.28M","-0.29%"
"2023-5-19","20.350","20.347","20.563","20.267","1.66M","0.01%"
"2023-5-18","20.347","21.047","21.090","20.127","3.67M","-3.33%"
"2023-5-17","21.047","20.673","21.182","20.440","3.49M","1.81%"
"2023-5-16","20.673","20.987","21.133","20.450","3.77M","-1.51%"
"2023-5-15","20.990","20.944","21.504","20.622","3.93M","0.22%"
"2023-5-14","20.944","20.832","21.234","20.632","1.97M","0.54%"
"2023-5-13","20.832","20.906","21.277","20.792","2.31M","-0.35%"
"2023-5-12","20.906","20.184","20.936","19.830","4.36M","3.57%"
"2023-5-11","20.184","20.934","20.934","19.797","4.78M","-3.57%"
"2023-5-10","20.932","20.658","21.297","19.999","6.52M","1.26%"
"2023-5-9","20.673","20.632","20.997","20.427","3.22M","0.19%"
"2023-5-8","20.632","21.657","21.807","20.003","7.05M","-4.72%"
"2023-5-7","21.655","21.928","22.734","21.655","3.80M","-1.25%"
"2023-5-6","21.928","22.825","23.224","21.613","3.87M","-3.93%"
"2023-5-5","22.825","21.740","23.043","21.656","4.96M","4.99%"
"2023-5-4","21.740","22.220","22.472","21.616","3.21M","-2.16%"
"2023-5-3","22.220","22.250","22.282","21.254","5.12M","-0.14%"
"2023-5-2","22.252","21.952","22.374","21.760","3.28M","1.26%"
"2023-5-1","21.975","22.739","22.880","21.600","5.00M","-3.36%"
"2023-4-30","22.739","23.186","23.902","22.739","4.05M","-1.93%"
"2023-4-29","23.186","23.348","23.778","22.934","4.04M","-0.69%"
"2023-4-28","23.348","22.332","23.471","22.184","6.06M","4.55%"
"2023-4-27","22.332","21.284","22.494","21.180","5.97M","4.92%"
"2023-4-26","21.284","21.920","22.937","20.476","8.43M","-2.90%"
"2023-4-25","21.920","21.380","21.962","20.736","4.28M","2.53%"
"2023-4-24","21.380","21.470","21.982","21.036","3.84M","-0.42%"
"2023-4-23","21.470","21.795","22.237","21.012","3.47M","-1.49%"
"2023-4-22","21.795","21.267","21.972","21.067","2.44M","2.48%"
"2023-4-21","21.267","22.197","22.390","21.070","6.04M","-4.13%"
"2023-4-20","22.183","22.683","23.134","21.605","7.76M","-2.20%"
"2023-4-19","22.683","24.823","24.969","22.072","9.38M","-8.62%"
"2023-4-18","24.823","24.572","25.436","24.023","5.02M","1.03%"
"2023-4-17","24.569","25.365","25.960","24.358","8.00M","-3.12%"
"2023-4-16","25.360","24.050","25.457","23.845","4.59M","5.46%"
"2023-4-15","24.047","24.723","24.778","23.825","3.80M","-2.73%"
"2023-4-14","24.723","24.437","25.463","23.765","9.00M","1.17%"
"2023-4-13","24.437","23.790","25.243","23.655","7.93M","2.73%"
"2023-4-12","23.788","22.982","24.400","22.336","13.85M","3.50%"
"2023-4-11","22.982","20.897","23.675","20.827","11.98M","9.94%"
"2023-4-10","20.904","20.282","20.950","20.082","2.49M","3.05%"
"2023-4-9","20.285","20.043","20.425","19.900","1.37M","1.20%"
"2023-4-8","20.043","20.446","20.726","19.900","2.40M","-1.97%"
"2023-4-7","20.446","20.623","20.773","20.253","1.76M","-0.84%"
"2023-4-6","20.620","20.963","20.988","20.466","2.33M","-1.67%"
"2023-4-5","20.970","20.922","21.333","20.632","3.58M","0.23%"
"2023-4-4","20.922","20.446","21.238","20.324","3.31M","2.33%"
"2023-4-3","20.446","20.520","20.990","19.992","5.70M","-0.38%"
"2023-4-2","20.524","21.080","21.294","20.250","2.28M","-2.60%"
"2023-4-1","21.072","21.165","21.310","20.796","2.24M","-0.44%"
"2023-3-31","21.165","20.547","21.462","20.072","4.18M","2.97%"
"2023-3-30","20.555","21.110","21.648","20.160","5.96M","-2.63%"
"2023-3-29","21.110","20.460","21.536","20.430","4.44M","3.21%"
"2023-3-28","20.453","19.900","20.820","19.620","4.68M","2.78%"
"2023-3-27","19.900","20.954","20.982","19.448","4.72M","-5.04%"
"2023-3-26","20.957","20.425","21.117","20.295","2.38M","2.60%"
"2023-3-25","20.425","20.659","20.969","20.129","3.11M","-1.13%"
"2023-3-24","20.659","22.184","22.270","20.308","8.00M","-6.87%"
"2023-3-23","22.184","21.434","22.741","21.172","7.73M","3.54%"
"2023-3-22","21.425","22.574","23.062","21.019","12.39M","-5.09%"
"2023-3-21","22.574","22.150","23.316","21.578","9.94M","1.93%"
"2023-3-20","22.147","21.855","23.893","21.448","15.17M","1.34%"
"2023-3-19","21.855","21.218","22.428","21.214","6.10M","3.02%"
"2023-3-18","21.215","21.628","22.850","21.091","10.59M","-1.89%"
"2023-3-17","21.624","19.697","21.669","19.437","9.17M","9.79%"
"2023-3-16","19.697","19.261","19.888","18.927","6.62M","2.26%"
"2023-3-15","19.261","20.914","21.463","18.773","11.64M","-7.90%"
"2023-3-14","20.914","20.428","22.081","19.802","14.88M","2.40%"
"2023-3-13","20.425","20.184","21.367","18.907","16.74M","1.19%"
"2023-3-12","20.184","18.113","20.452","17.757","9.04M","11.43%"
"2023-3-11","18.113","18.202","18.896","17.011","9.26M","-0.52%"
"2023-3-10","18.208","17.326","18.352","16.060","15.88M","5.00%"
